Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
1992,22,Norway,2,4,1,7,Norway,Norway,Norway,34875.0,4359184.0,2815261.0
1992,28,New Zealand,1,4,5,10,New Zealand,New Zealand,New Zealand,17189.0,3673400.0,2403555.0
1992,25,Brazil,2,1,0,3,Brazil,Brazil,Brazil,4781.0,161735073.0,101167654.0
1992,27,Sweden,1,7,4,12,Sweden,Sweden,Sweden,30520.0,8826939.0,5621611.0
1992,19,Poland,3,6,10,19,Poland,Poland,Poland,3705.0,38594998.0,25490654.0
1992,18,Bulgaria,3,7,6,16,Bulgaria,Bulgaria,Bulgaria,2240.0,8406067.0,5632322.0
1992,24,Indonesia,2,2,1,5,Indonesia,Indonesia,Indonesia,1188.0,199888057.0,124515992.0
1992,29,Finland,1,2,2,5,Finland,Finland,Finland,26270.0,5107790.0,3409669.0
1992,30,Denmark,1,1,4,6,Denmark,Denmark,Denmark,35339.0,5233373.0,3525949.0
1992,21,Kenya,2,4,2,8,Kenya,Kenya,Kenya,547.0,26601751.0,13323165.0
1992,38,Jamaica,0,3,1,4,Jamaica,Jamaica,Jamaica,2621.0,2500151.0,1457214.0
1992,38,Nigeria,0,3,1,4,Nigeria,Nigeria,Nigeria,467.0,110819428.0,58186776.0
1992,40,Latvia,0,2,1,3,Latvia,Latvia,Latvia,2104.0,2485056.0,1632448.0
1992,41,Austria,0,2,0,2,Austria,Austria,Austria,30332.0,7948278.0,5328594.0
1992,26,Greece,2,0,0,2,Greece,Greece,Greece,12760.0,10562153.0,7092061.0
1992,5,Cuba,14,6,11,31,Cuba,Cuba,Cuba,2785.0,10925362.0,7542560.0
1992,6,Spain,13,7,2,22,Spain,Spain,Spain,15437.0,39724050.0,27139001.0
1992,54,Qatar,0,0,1,1,Qatar,Qatar,Qatar,15798.0,514325.0,373883.0
1992,54,Suriname,0,0,1,1,Suriname,Suriname,Suriname,1943.0,429606.0,258004.0
1992,8,Hungary,11,12,7,30,Hungary,Hungary,Hungary,4497.0,10328965.0,6985555.0
1992,9,France,8,5,16,29,France,France,France,27029.0,59541294.0,38925506.0
1992,10,Australia,7,9,11,27,Australia,Australia,Australia,21780.0,18004882.0,11994523.0
1992,11,Canada,7,4,7,18,Canada,Canada,Canada,20688.0,29302311.0,19816807.0
1992,12,Italy,6,5,8,19,Italy,Italy,Italy,20650.0,56844303.0,38860972.0
1992,4,China,16,22,16,54,China,China,China,603.0,1204855000.0,801384577.0
1992,3,Germany,33,21,28,82,Germany,Germany,Germany,31873.0,81678051.0,55828044.0
1992,49,Mexico,0,1,0,1,Mexico,Mexico,Mexico,4225.0,90862455.0,53682751.0
1992,54,Thailand,0,0,1,1,Thailand,Thailand,Thailand,2849.0,59098232.0,40348975.0
1992,54,Argentina,0,0,1,1,Argentina,Argentina,Argentina,8004.0,35070020.0,21541885.0
1992,54,Colombia,0,0,1,1,Colombia,Colombia,Colombia,3046.0,35804662.0,21981200.0
1992,54,Philippines,0,0,1,1,Philippines,Philippines,Philippines,1222.0,70546246.0,39554640.0
1992,54,Pakistan,0,0,1,1,Pakistan,Pakistan,Pakistan,580.0,134582253.0,70093064.0
1992,41,Namibia,0,2,0,2,Namibia,Namibia,Namibia,2478.0,1602170.0,875381.0
1992,54,Ghana,0,0,1,1,Ghana,Ghana,Ghana,786.0,17399017.0,9224852.0
1992,49,Peru,0,1,0,1,Peru,Peru,Peru,2183.0,24348919.0,14332546.0
1992,52,Mongolia,0,0,2,2,Mongolia,Mongolia,Mongolia,739.0,2224945.0,1280283.0
1992,52,Slovenia,0,0,2,2,Slovenia,Slovenia,Slovenia,10724.0,1989872.0,1381978.0
1992,13,Great Britain,5,3,12,20,Great Britain,United Kingdom,United Kingdom,23206.0,58019030.0,37429998.0
1992,37,Switzerland,1,0,0,1,Switzerland,Switzerland,Switzerland,50132.0,7040687.0,4760577.0
1992,34,Estonia,1,0,1,2,Estonia,Estonia,Estonia,3081.0,1436634.0,945131.0
1992,17,Japan,3,8,11,22,Japan,Japan,Japan,44211.0,125472000.0,87457274.0
1992,41,South Africa,0,2,0,2,South Africa,South Africa,South Africa,3904.0,44541554.0,25975756.0
1992,44,Belgium,0,1,2,3,Belgium,Belgium,Belgium,28531.0,10136811.0,6703399.0
1992,44,Croatia,0,1,2,3,Croatia,Croatia,Croatia,4710.0,4620030.0,3154495.0
1992,34,Lithuania,1,0,1,2,Lithuania,Lithuania,Lithuania,1788.0,3629102.0,2392434.0
